Species_Name,n.plots,mean.years,min.years,max.years,FunGroup,new.code
Anagallis arvensis,50,3.44,1,20,Exotic Forb,ANAARV
Gastridium ventricosum,95,3.010526316,1,14,Exotic Grass,GASVEN
Astragalus gambelianus,106,3.886792453,1,14,Native Forb,ASTGAM
Avena fatua,357,14.8907563,1,20,Exotic Grass,AVEFAT
Bromus hordeaceus,397,14.82367758,1,20,Exotic Grass,BROHOR
Bromus madritensis,253,7.130434783,1,20,Exotic Grass,BROMAD
Centaurea solstitialis,175,7.771428571,1,20,Exotic Forb,CENSOL
Elymus caput-medusae,309,12.68932039,1,20,Exotic Grass,ELYCAP
Erodium cicutarium,220,7.809090909,1,20,Exotic Forb,EROCIC
Festuca microstachys,238,11.81092437,1,20,Native Grass,FESMIC
Lupinus bicolor,228,9.219298246,1,20,Native Forb,LUPBIC
Senecio vulgaris,88,2.340909091,1,9,Exotic Forb,SENVUL
Acmispon wrangelianus,275,8.305454545,1,20,Native Forb,ACMWRA
Athysanus pusillus,232,4.176724138,1,17,Native Forb,ATHPUS
Clarkia purpurea,276,7.253623188,1,20,Native Forb,CLAPUR
Hemizonia congesta,236,12.19067797,1,20,Native Forb,HEMCON
Plagiobothrys nothofulvus,56,3.982142857,1,16,Native Forb,PLANOT
Plantago erecta,288,11.56597222,1,20,Native Forb,PLAERE
Lasthenia californica,162,12.15432099,1,20,Native Forb,LASCAL
Lupinus succulentus,46,5.695652174,1,15,Native Forb,LUPSUC
Microsteris gracilis,69,3.666666667,1,15,Native Forb,MICGRA
Vicia villosa,193,6.740932642,1,19,Exotic Forb,VICVIL
Achyrachaena mollis,137,4.299270073,1,17,Native Forb,ACHMOL
Euphorbia crenulata,131,7.335877863,1,18,Native Forb,EUPCRE
Festuca perennis,209,7.928229665,1,20,Exotic Grass,FESPER
Lactuca serriola,270,3.537037037,1,17,Exotic Forb,LACSER
Amsinckia menziesii,84,3.619047619,1,16,Native Forb,AMSMEN
Festuca myuros,213,4.244131455,1,18,Exotic Grass,FESMYU
Holocarpha virgata,223,9.735426009,1,20,Native Forb,HOLVIR
Medicago polymorpha,166,4.5,1,18,Exotic Forb,MEDPOL
Sidalcea diploscypha,133,6.962406015,1,20,Native Forb,SIDDIP
Trifolium fucatum,91,7.868131868,1,20,Native Forb,TRIFUC
Agoseris heterophylla,235,5.919148936,1,19,Native Forb,AGOHET
Navarretia pubescens,136,5.926470588,1,19,Native Forb,NAVPUB
Geranium dissectum,164,10.83536585,1,20,Exotic Forb,GERDIS
Epilobium brachycarpum,239,4.230125523,1,16,Native Forb,EPIBRA
Gilia tricolor,46,5.934782609,1,19,Native Forb,GILTRI
Trifolium hirtum,201,9.427860697,1,20,Exotic Forb,TRIHIR
Trifolium willdenovii,47,3,1,11,Native Forb,TRIWIL
Hypochaeris glabra,221,6.325791855,1,20,Exotic Forb,HYPGLA
Calandrinia menziesii,45,1.755555556,1,9,Native Forb,CALMEN
Castilleja attenuata,124,4.096774194,1,16,Native Forb,CASATT
